Abb,Meaning
ARS,특별항공기보고(전문형식 지정어)
SPI,특별위치지시기
ASHTAM,"화산재고시보(항공기 운항에 중요한 화산활동, 화산폭발 및/또는 화산 재구름의 변경사항을 특정형식으로 통보하는 특별 항공고시보)"
SNOWTAM,설빙고시보
SLP,속도제한점
SPOT,지점 바람
SQ,스콜
SQL,스콜라인
SDBY,대기
STD,표준
SD,표준편차
STAR,표준계기도착절차
SID,표준계기출발절차
RUT,표준지역항공로용 주파수
SARPS,표준 및 권고방식
SOC,상승시작점
S...,바다의 상태
STN,기지국
STNR,정체한
STS,상태
SDF,단계강하픽스
END,활주로 종단(RVR 관련)
SWY,정지로
STWL,정지로등
STA,직진입접근
STF,층운형
SC,층적운
ST,층운
SUBJ,...을 조건으로 하는
SUN,일요일
SR,일출
HJ,주간
SS,일몰
HN,야간
SHF,초단파
SST,초음속여객기
SUP,보충판(AIP)
SPL,보충 비행계획서
SFC,지표면
SMC ,지상이동관제
SMR,지상감시레이더
SRA,감시레이더접근
SRE,T
TAIL,배풍
TKOF,이륙
TODA,사용가능 이륙거리
TODAH,"사용가능 이륙거리, 헬기"
TORA,이륙활주가능거리
TAX,지상 활주하다.
TGS,지상활주유도장치
TWY,유도로
TWYL,유도로 연결
TECR,기술상 이유
TEL,전화
TT,텔레타이프
T,온도
TEMPO,일시적인
TRA,임시유보공역
TAR,국지감시레이더
TAA,터미널도착고도
TMA,접근관제구역
TVOR,비행장 VOR
TXT,원문
ADS,자동종속감시시설
LR,마지막으로 수신한 전문은 ~임 (절차신호로서 항공고정업무(AFS)에 사용)
LS,마지막으로 송신한 전문은 ~임 또는 마지막 전문은 ~임 (절차신호로서 항공고정업무(AFS)에 사용)
CH,이것은 메시지를 받는 채널의 연속적인수를 기록하는 것과 비교하도록 하는 전송채널연속성점검을 하는 것이다. 
DUPE,중복된 전문(절차신호로서 항공고정업무(AFS)에 사용)
THR,시단
TCH,활주로시단통과높이
THRU,...을 통하여
TS,뇌전
TS...,뇌전
THU,목요일
TL...,까지
TO...,...로(장소)
TOC,상승완료지점
TDO,토네이도
TGL,접지 이착륙
TLOF,접지 및 수직이륙구역
TDZ,접지구역
TCU,탑상적운
TOX,유독성의
TR,항적
TF,픽스까지 항적
TFC,교통
TA,교통조언
TCAS RA,공중충돌회피기동조언
TIBA,항공기에 의한 교통정보 방송
TA,고도계전환고도
TRL,고도계전환고도
TRANS,송신 또는 송신기
TREND,경향예보
TC,열대성저기압
TCAC,열대성저기압주의보센터
TROP,권계면
...T,진(방위)
TAS,진대기속도
QTE,진방위
TSUNAMI,지진해일(비행장 경보시)
TUE,화요일
TURB,난류
TNA,선회고도
TA/H,특정고도에서 선회
TNH,선회높이 
TP,선회지점
T-VASIS,T형 진입각지시등
TYP,항공기 형식
TYPH,U
TACAN,전술항행표지시설
UHF,극초단파
UDF,극초단파 방향탐지국
ULR,극초장거리
UNA,할수없음
UHDT,교통량으로 고도상승 불가능
UNAP,승인할 수 없음
INCERFA,불확실 단계
UP,불확실한 강수
UNL,무한정
UA,무인항공기
UAS,무인항공기시스템
UNREL,신뢰할 수 없는
U/S,사용불능
TIL,...까지
UAB... ,...에 의해 권고될 때까지
UFN,추후 통보시까지
TIP,(장소)를 통과할 때까지
UAR,고고도 항공로
UAC ,고고도지역관제센터
UTA,고고도관제구역
UIR,고고도비행정보구역
UIC,고고도 비행정보센터
U,V
VRB,가변성의
...V...,평균풍향에 대한 변화
G...,평균풍속으로부터 변화(돌풍) (METAR/SPECI 및 TAF에 숫자가 이어짐)
VTF,최종접근을 위한 레이더 유도
VER,수직의
VNAV,수직유도정보제공 항행
VPA,수직경로진입각
VSP,수직강하속도
VTOL,수직 이착륙
VV...,수직시정
VHF,초단파
VDF,VHF 방향탐지국
VIP,귀빈
VLR,초장거리
VLF,초장파
VOR,전방향표지시설
VCY,부근
VC...,비행장 부근
VIS,시정
CAVOK,"시정, 구름 및 기상상태 양호"
VAC..,시각접근지도
VASIS,진입각지시등
VAR,가시-가청 무선범위
VFR,시계비행방식
VPT,정해진 항적에 따른 시각기동
VMC,시계비행기상상태
VSA,지상의 시각참조물에 의한
VA,화산재
VAAC,화산재주의보센터
VOT,VOR 공중장비시험시설
VORTAC,W
WRNG,경고
WTSPT,용오름
WPT,웨이포인트
OK,동의함 또는 정확함 (절차신호로서 항공고정업무(AFS)에 사용)
WKN,약해진
WX,기상
WED,수요일
WT,"무게, 중량"
W,서쪽 또는 서경
WB,서쪽행
WNW,서북서
WSW,서남서
QGE,귀국까지 거리는 얼마입니까? 또는 귀국의 당국까지 거리는 (거리 및 단위)입니다. (Q 코드로서 무선전신에 사용)
W,백색
OPA,"불투명, 흰색 형태의 얼음생성"
WAAS,위성기반광역보강시스템(미국)
WDSPR,광범위한
WID,"폭, 너비"
WILCO,...에 따르다.
QTF,"귀국은 운영중인 방향탐지국에서 얻은 방위로 당국의 위치를 송신해 주시겠습니까? 또는 당국이 운영하는 방향탐지국에서 얻은 방위에 따르면 귀국의 위치는 ~시 기준, ~ 위도, ~ 경도 (또는 위치의 다른 표시), 등급 ~ 이었습니다. (Q 코드로서 무선전신에 사용)"
QUJ,귀국에 도착하기 위한 진방위 항적을 알려주시겠습니까? 또는 당국에 도착하기 위한 진방위 항적은  ~시 기준 ~도입니다. (Q 코드로서 무선전신에 사용)
QSP,귀국은 무료로 ~에 중계해 주시겠습니까? 또는 당국은 무료로 ~에 중계하겠습니다. (Q 코드로 AFS에 사용)
WIND,바람
WDI,풍향지시기
WS,윈드시어
WSPD,풍속
WBAR,활주로시단연장등
WEF,...부터 유효
WIE,즉시유효
WI ,...이내
WO,...없이
WIP,작업중
WAC...,세계항공도
WAFC,세계지역 예보센터
WGS-84,세계측지계
WWW,Y
Y,황색
YCZ,황색경계구역
AFM,"예, 긍정, 맞음, 정확함"
YES,예(긍정적)
YR,당신
