Abb,Meaning
SELCAL,Selective calling system
SEP,September
SER,Service or servicing or served
SEV,Severe (used e.g. to qualify icing and turbulence reports)
SFC,Surface
SG,Snow grains
SGL,Signal
SH...,"Shower(followed by RA = rain, SN = snow, PL = icepellets, GR = hail, GS = small hail and/or snow pellets or combinations thereof; e.g. SHRASN = showers of rain and snow)"
SHF,Super high frequency [3 000 to 30 000 MHZ]
SI,International system of units
SID,Standard instrument departure
SIF,Selective identification feature
SIG ,Significant
SIGMET,Information concerning en-route weather phenomena which may affect the safety of aircraft operations
SIMUL ,Simultaneous or simultaneously
SIWL,Single isolated wheel load
SKED,Schedule or scheduled
SLP,Speed limiting point
SLW,Slow
SMC ,Surface movement control
SMR,Surface movement radar
SN,Snow
SNOCLO ,Aerodrome closed due to snow (used in METAR/SPECI)
SNOWTAM,"Special series NOTAM notifying the presence or removal of hazardous  conditions due to snow, ice, slush or standing water associated with snow, slush and ice on the movement area, by means of a specific format"
SOC,Start of climb
SPECI,Aerodrome special meteorological report (in meteorological code)
SPECIAL,Local special meteorological report(in abbreviated plain language)
SPI,Special position indicator
SPL,Supplementary flight plan (message type designator)
SPOC,SAR point of contact
SPOT,Spot wind
SQ,Squall
SQL,Squall line
SR,Sunrise
SRA,Surveillance radar approach
SRE,Surveillance radar element of precision approach radar system
SRG,Short range
SRR,Search and rescue region
SRY,Secondary
SS,Sandstorm
SS,Sunset
SSB,Single sideband
SSE,South-south-east
SSR,Secondary surveillance radar
SST,Supersonic transport
SSW,South-south-west
ST,Stratus
STA,Straight-in approach
STAR,Standard instrument arrival
STD,Standard
STF,Stratiform
STN,Station
STNR,Stationary
STOL,Short take-off and landing
STS,Status
STWL,Stopway light(s)
SUBJ,Subject to
SUN,Sunday
SUP,Supplement (AIP Supplement)
SUPPS,Regional supplementary procedures
SVC,Service message
SVCBL,Serviceable
SW,South-west
SWB,South-westbound
SWY,Stopway
T,Temperature
...T,True (preceded by a bearing to indicate reference to True North)
TA,Traffic advisory
TA,Transition altitude
TAA,Terminal arrival altitude
TACAN,UHF tactical air navigation aid
TAF,Aerodrome forecast (in meteorological code)
TA/H,Turn at an altitude/height
TAIL,Tail wind
TAR,Terminal area surveillance radar
TAS,True airspeed
TAX,Taxiing or taxi
TC,Tropical cyclone
TCAC,Tropical cyclone advisory centre
TCAS RA,Traffic alert and collision avoidance system resolution advisory
TCH,Threshold crossing height
TCU,Towering cumulus
TDO,Tornado
TDZ,Touchdown zone
TECR,Technical reason
TEL,Telephone
TEMPO,Temporary or temporarily
TF,Track to fix
TFC,Traffic
TGL,Touch-and-go landing
TGS,Taxiing guidance system
THR,Threshold
THRU,Through
THU,Thursday
TIBA,Traffic information broadcast by aircraft
TIL,Until
TIP,Until past...(place)
TKOF,Take-off
TL...,Till(followed by time by which weather change is forecast to end)
TLOF,Touchdown and lift-off area
TMA,Terminal control area
TN...,Minimum temperature(followed by figures in TAF)
TNA,Turn altitude
TNH,Turn height
TO...,To... (place)
TOC,Top of climb
TODA,Take-off distance available
TODAH,"Take-off distance available, helicopter"
TOP,Cloud top
TORA,Take-off run available
TOX,Toxic
TP,Turning point
TR,Track
TRA,Temporary reserved airspace
TRANS,Transmits or transmitter
TREND,Trend forecast
TRL,Transition level
TROP,Tropopause
TS,"Thunderstorm (in aerodrome reports and forecasts, TS used alone means  thunder heard but no precipitation at the aerodrome)"
TS...,"Thunderstorm(followed by RA = rain, SN = snow: PL = icepellets, GR = hail, GS = small hail and/or snow pellets or combinations thereof; e.g. TSRASN = thunderstorm with rain and snow)"
TSUNAMI,Tsunami (used in aerodrome warnings)
TT,Teletypewriter
TUE,Tuesday
TURB,Turbulence
T-VASIS,T visual approach slope indicator system
TVOR,Terminal VOR
TWR,Aerodrome control tower or aerodrome control
TWY,Taxiway
TWYL,Taxiway-link
TX ...,Maximum temperature (followed by figures in TAF)
TXT,"Text (when the abbreviation is used to request a repetition, the question mark(IM) precedes the abbreviation, e.g. IMITXT) (to be used in AFS as a procedure signal)"
TYP,Type of aircraft
TYPH,Typhoon
U,Upward (tendency in RVR during previous I0 minutes)
UA,Unmanned aircraft
UAB... ,Until advised by...
UAC ,Upper area control centre
UAR,Upper air route
UAS,Unmanned aircraft system
UDF,Ultra high frequency direction-finding station
UFN,Until further notice
UHDT,Unable higher due traffic
UHF,Ultra high frequency [300 to 3 000 MHZ]
UIC,Upper information centre
UIR,Upper flight information region
ULR,Ultra long range
UNA,Unable
UNAP,Unable to approve
UNL,Unlimited
UNREL,Unreliable
UP,Unidentified precipitation (used in automated METAR/SPEC)
U/S,Unserviceable
UTA,Upper control area
UTC,Coordinated Universal Time
...V...,"Variations from the mean wind direction(preceded and followed by figures in METAR/SPECI, e.g. 350V070)"
VA,Heading to an altitude
VA,Volcanic ash
VAAC,Volcanic ash advisory centre
VAC...,Visual approach chart(followed by name/title)
VAL,In valleys
VAN,Runway control van
VAR,Magnetic variation
VAR,Visual-aural radio range
VASIS,Visual approach slope indicator systems 
VC...,"Vicinity of the aerodrome Cfollowed by, FG =fog, FC =funnel cloud, SH = shower, PO = dudsand whirls, BLDU = blowing dust, BLSA = blowing sand, BLSN = blowing snow, DS = duststorm, SS = sandstorm, TS = thunderstorm or VA =  volcanic ash,e.g. VCFG = vicinity fog)"
VCY,Vicinity
VDF,Very high frequency direction-finding station
VER,Vertical
VFR,Visual flight rules
VHF,Very high frequency [30 to 300 MHZ]
VI,Heading to an intercept
VIP,Very important person
VIS,Visibility
VLF,Very low frequency [3 to 30 kHz]
VLR,Very long range
VM,Heading to a manual termination
VMC,Visual meteorological conditions
VNAV,Vertical navigation
VOLMET,Meteorological information for aircraft in flight
VOR,VHF omnidirectional radio range
VORTAC,VOR and TACAN combination
VOT,VOR airborne equipment test facility
VPA,Vertical path angle
VPT,Visual manoeuvre with prescribed track
VRB,Variable
VSA,By visual reference to the ground
VSP,Vertical speed
VTF,Vector to final
VTOL,Vertical take-off and landing
VV...,Vertical visibility(followed by figures in METAR/SPECI and TAF)
W,West or western longitude
W,White
W...,Sea-surface temperature(followed by figures in METAR/SPECI)
WAAS,Wide area augmentation system
WAC...,World Aeronautical Chart - ICAO  1 : 1 000 000(followed by name/title)
WAFC,World area forecast centre
WB,Westbound
WBAR,Wing bar lights
WDI,Wind direction indicator
WDSPR,Widespread
WED,Wednesday
WEF,With effect from or effective from
WGS-84,World Geodetic System - 1984
WI,Within
WID,Width or wide
WIE,With immediate effect or effective immediately
WILCO,Will comply
WIND,Wind
WIP,Work in progress
WKN,Weaken or weakening
WNW,West-north-west
WO,Without
WPT,Way-point
WRNG,Warning
WS,Wind shear
WSPD,Wind speed
WSW,West-south-west
WT,Weight
WTSPT,Waterspout
WWW,Worldwide web
WX,Weather
X,Cross
XBAR,Crossbar (of approach lighting system)
XNG,Crossing
XS,Atmospherics
Y,Yellow
YCZ,Yellow caution zone (runway lighting;)
YES,Yes (affirmative) (to be used in AFS as a procedure signal)
YR,Your
Z,Coordinated Universal Time (in meteorological messages)
